parish,mr,townland,os,sublocation_1,sublocation_2,occupier,lessor,desc,area,land_val,building_val,total_val,n_shared,is_total,is_exemption
DERBYKEIGHAN,11,GARNAFF,,,,George Ramadge,John Montgomery,"H,O,&L",14 2 25,0 10 0,1 5 0,1 15 0,1,0,0
DERBYKEIGHAN,12,GARNAFF,,,,Andrew Jackson,Same,"H,O,&L",15 3 0,5 10 0,1 5 0,6 15 0,1,0,0
DERBYKEIGHAN,13 A,GARNAFF,,,,Samuel McKenny,Same,L,17 0 16,12 0 0,1 0 0,13 0 0,1,0,0
DERBYKEIGHAN,13 B,GARNAFF,,,,Robert Campbell,Same,"H,O,&L",4 3 0,5 0 0,,17 0 0,1,0,0
DERBYKEIGHAN,15,GARNAFF,,,,John Montgomery,In fee,Turbary,10 3 20,8 10 0,0 15 0,2 5 0,1,0,0
DERBYKEIGHAN,,GARNAFF,,,,,,Total,203 3 21,177 10 0,30 4 0,224 9 0,1,1,0
DERBYKEIGHAN,1,GARNCOGGY,12,,,Jane Murphy,John Montgomery,"H,O,&L",6 0 15,5 0 0,1 15 0,6 15 0,1,0,0
DERBYKEIGHAN,2 a,GARNCOGGY,,,,Ellen Henry,Same,"H,O,&L",24 3 35,18 0 0,1 10 0,19 10 0,1,0,0
DERBYKEIGHAN,2 b,GARNCOGGY,,,,William Whitten,Ellen Henry,H & G,0 2 10,0 10 0,1 5 0,1 15 0,1,0,0
DERBYKEIGHAN,3 a,GARNCOGGY,,,,Daniel Millar,John Montgomery,"H,O,&L",8 0 30,5 0 0,0 15 0,5 15 0,1,0,0
DERBYKEIGHAN,3 b,GARNCOGGY,,,,Presbyterian Meeting-house and yard,(See Exemptions.),,,,,,1,0,1
DERBYKEIGHAN,4,GARNCOGGY,,,,John McDonnell,John Montgomery,"H,O,&L",11 3 10,0 15 0,1 10 0,8 5 0,1,0,0
DERBYKEIGHAN,5,GARNCOGGY,,,,James McDonnell,John Lyle,"H,O,&L",6 2 15,4 10 0,1 5 0,5 15 0,1,0,0
DERBYKEIGHAN,6,GARNCOGGY,,,,Charles Lyle,John Lyle,"H,O,&L",6 3 15,5 0 0,0 15 0,5 15 0,1,0,0
DERBYKEIGHAN,7,GARNCOGGY,,,,Ellen Lyle,John Lyle,L,3 3 0,3 5 0,,2 5 0,1,0,0
DERBYKEIGHAN,8 A,GARNCOGGY,,,,John Lyle,John Montgomery,"H,O,& L",35 0 0,33 0 0,4 0 0,38 10 0,1,0,0
DERBYKEIGHAN,8 b,GARNCOGGY,,,,Robert Ross,John Lyle,H & small garden,2 0 5,1 10 0,,,1,0,0
