county_effective,barony_effective,parish_effective,townland_linked,page_names,page_num,row_count,subcategory,ends_at_page_bottom,next_page_in_corpus,next_page_first_townland,other_model_has_total
ANTRIM,"DUNLUCE, LOWER",DERRYKEIGHAN,DERRYKEIGHAN,IRE_GRIFF_004_065.jpg,004_065,11,continues_to_unscanned_page,True,False,,False
ANTRIM,"DUNLUCE, LOWER",DERRYKEIGHAN,"BALLYNARRY, UPPER",IRE_GRIFF_004_067.jpg,004_067,4,continues_to_unscanned_page,True,False,,False
ANTRIM,"DUNLUCE, UPPER",BALLYMONEY,BALLYBRAKES,IRE_GRIFF_004_111.jpg,004_111,29,continues_to_unscanned_page,True,False,,False
ANTRIM,"DUNLUCE, LOWER",BILLY,BALLYHEMLIN,IRE_GRIFF_006_022.jpg,006_022,19,continues_to_unscanned_page,True,False,,False
ANTRIM,"DUNLUCE, LOWER",BILLY,CASTLEGAT,IRE_GRIFF_006_025.jpg,006_025,12,continues_to_unscanned_page,True,False,,False
ARMAGH,ARMAGH,DERRYNOOSE,DRUMAGANVER,IRE_GRIFF_018_232.jpg,018_232,27,continues_to_unscanned_page,True,False,,False
ARMAGH,ARMAGH,DERRYNOOSE,FARNALOY,IRE_GRIFF_018_237.jpg,018_237,38,continues_to_unscanned_page,True,False,,False
ARMAGH,ARMAGH,GRANGE,ANNAHAGH,IRE_GRIFF_018_244.jpg,018_244,11,continues_to_unscanned_page,True,False,,False
ARMAGH,ARMAGH,KEADY,LAGAN,IRE_GRIFF_018_272.jpg,018_272,17,continues_to_unscanned_page,True,False,,False
ARMAGH,ARMAGH,KEADY,TULLYGLUSH,"IRE_GRIFF_018_285.jpg,IRE_GRIFF_018_286.jpg",018_286,65,continues_to_unscanned_page,True,False,,False
ARMAGH,ARMAGH,LOUGHGALL,CORR AND DUNAVALLY,IRE_GRIFF_018_309.jpg,018_309,23,continues_to_unscanned_page,True,False,,False
ARMAGH,ARMAGH,EGLISH,TAMLAGHT,IRE_GRIFF_018_319.jpg,018_319,14,continues_to_unscanned_page,True,False,,False
ARMAGH,ARMAGH,EGLISH,NAVAN,IRE_GRIFF_018_322.jpg,018_322,37,continues_to_unscanned_page,True,False,,False
ARMAGH,TIRANNY,TYNAN,ARDGONNELL,IRE_GRIFF_018_400.jpg,018_400,22,continues_to_unscanned_page,True,False,,False
ARMAGH,TIRANNY,TYNAN,MULLANARY,IRE_GRIFF_018_407.jpg,018_407,26,continues_to_unscanned_page,True,False,,False
ARMAGH,TIRANNY,TYNAN,CRANN,IRE_GRIFF_018_412.jpg,018_412,22,continues_to_unscanned_page,True,False,,False
ARMAGH,TIRANNY,TYNAN,CORTYNAN,IRE_GRIFF_018_427.jpg,018_427,54,continues_to_unscanned_page,True,False,,False
ARMAGH,TIRANNY,EGLISH,LISBANE,IRE_GRIFF_018_430.jpg,018_430,5,continues_to_unscanned_page,True,False,,False
LOUTH,LOUTH,LOUTH,CARRICKMULLAN,IRE_GRIFF_024_040.jpg,024_040,7,continues_to_unscanned_page,True,False,,False
LOUTH,LOUTH,LOUTH,MULLAVALLY,IRE_GRIFF_024_052.jpg,024_052,39,continues_to_unscanned_page,True,False,,False
LOUTH,LOUTH,LOUTH,RICHARD TAAFFE'S HOLDING,IRE_GRIFF_024_056.jpg,024_056,64,continues_to_unscanned_page,True,False,,False
LOUTH,"DUNDALK, UPPER",DUNBIN,DONAGHMORE,IRE_GRIFF_024_076.jpg,024_076,33,continues_to_unscanned_page,True,False,,False
LOUTH,"DUNDALK, UPPER",DUNDALK,CARNBEG,IRE_GRIFF_024_080.jpg,024_080,6,continues_to_unscanned_page,True,False,,False
LOUTH,"DUNDALK, UPPER",INISHKEEN,GORTEEN,IRE_GRIFF_024_093.jpg,024_093,17,continues_to_unscanned_page,True,False,,False
LOUTH,"DUNDALK, UPPER",FAUGHART,DUNGOOLY,IRE_GRIFF_024_098.jpg,024_098,35,continues_to_unscanned_page,True,False,,False
LOUTH,"DUNDALK, UPPER",ROCHE,EDENAKILL,IRE_GRIFF_024_117.jpg,024_117,16,continues_to_unscanned_page,True,False,,False
LOUTH,"DUNDALK, LOWER",CARLINGFORD,BAVAN,IRE_GRIFF_024_194.jpg,024_194,34,continues_to_unscanned_page,True,False,,False
LOUTH,"DUNDALK, LOWER",CARLINGFORD,CORNAMUCKLAGH,IRE_GRIFF_024_203.jpg,024_203,41,continues_to_unscanned_page,True,False,,False
LOUTH,"DUNDALK, LOWER",CARLINGFORD,MADDOXLAND,IRE_GRIFF_024_227.jpg,024_227,25,continues_to_unscanned_page,True,False,,False
CAVAN,TULLYHAW,KINAWLEY,"DRUMCONRA, OR LOWFORGE",IRE_GRIFF_027_024.jpg,027_024,7,continues_to_unscanned_page,True,False,,False
CAVAN,TULLYHAW,TEMPLEPORT,DRUMLOUGHER,IRE_GRIFF_027_054.jpg,027_054,21,continues_to_unscanned_page,True,False,,False
CAVAN,TULLYHAW,TEMPLEPORT,KILLYCRIN,IRE_GRIFF_027_060.jpg,027_060,17,continues_to_unscanned_page,True,False,,False
CAVAN,TULLYHAW,TEMPLEPORT,OWENCAM,IRE_GRIFF_027_069.jpg,027_069,9,continues_to_unscanned_page,True,False,,False
CAVAN,TULLYHAW,TOMREGAN,CARROWMORE,IRE_GRIFF_027_079.jpg,027_079,8,continues_to_unscanned_page,True,False,,False
CAVAN,CLANMAHON,KILMORE,CORNAMUCKLAGH,IRE_GRIFF_028_116.jpg,028_116,3,continues_to_unscanned_page,True,False,,False
CAVAN,CASTLERAHAN,CROSSERLOUGH,LATNADRONAGH,IRE_GRIFF_028_141.jpg,028_141,18,continues_to_unscanned_page,True,False,,False
CAVAN,"LOUGHTEE, LOWER",ANNAGH,CREENY,IRE_GRIFF_028_162.jpg,028_162,26,continues_to_unscanned_page,True,False,,False
CAVAN,"LOUGHTEE, LOWER",ANNAGH,ROSSKEERAGH,IRE_GRIFF_028_172.jpg,028_172,22,continues_to_unscanned_page,True,False,,False
CAVAN,"LOUGHTEE, LOWER",DRUMLANE,GREAGHRAHAN,IRE_GRIFF_028_197.jpg,028_197,5,continues_to_unscanned_page,True,False,,False
CAVAN,"LOUGHTEE, UPPER",DENN,CORRAWEEELIS,IRE_GRIFF_028_278.jpg,028_278,26,continues_to_unscanned_page,True,False,,False
CAVAN,"LOUGHTEE, UPPER",LARAH,CORFAD,IRE_GRIFF_028_310.jpg,028_310,4,continues_to_unscanned_page,True,False,,False
CAVAN,"LOUGHTEE, UPPER",LARAH,"TIRLAHODE, LOWER",IRE_GRIFF_028_316.jpg,028_316,19,continues_to_unscanned_page,True,False,,False
CAVAN,"LOUGHTEE, UPPER",URNEY,KILNAVARA,IRE_GRIFF_028_348.jpg,028_348,27,continues_to_unscanned_page,True,False,,False
