county_effective,barony_effective,parish_effective,townland_linked,page_names,row_count,category,neighbor_direction,neighbor_townland,neighbor_similarity,neighbor_total_rows,candidate_row_pos,candidate_is_last_row,candidate_occupier,candidate_total_val,sum_other_rows_total_val
ANTRIM,"DUNLUCE, LOWER",DERRYKEIGHAN,DERRYKEIGHAN,IRE_GRIFF_004_065.jpg,11,genuinely_missing,,,,,,,,,
ANTRIM,"DUNLUCE, LOWER",DERRYKEIGHAN,"BALLYNARRY, UPPER",IRE_GRIFF_004_067.jpg,4,genuinely_missing,,,,,,,,,
ANTRIM,"DUNLUCE, LOWER",DUNLUCE,BALLYBOGY,IRE_GRIFF_004_081.jpg,12,unflagged_total,,,,,11,True,Same,51 15 0,47 0 0
ANTRIM,"DUNLUCE, UPPER",LOUGHGUILE,"CLONTYFINNAN, WEST",IRE_GRIFF_004_093.jpg,18,split_segment,prev,"CLONTYFINNAN, EAST",0.941,2,,,,,
ANTRIM,"DUNLUCE, UPPER",BALLYMONEY,BALLYBRAKES,IRE_GRIFF_004_111.jpg,29,genuinely_missing,,,,,,,,,
ANTRIM,"DUNLUCE, UPPER",BALLYMONEY,TOWNPARKS,"IRE_GRIFF_004_116.jpg,IRE_GRIFF_004_117.jpg,IRE_GRIFF_004_118.jpg",172,genuinely_missing,,,,,,,,,
ANTRIM,"DUNLUCE, UPPER",BALLYMONEY,TOWN OF BALLYMONEY,IRE_GRIFF_004_118.jpg,7,genuinely_missing,,,,,,,,,
ANTRIM,"DUNLUCE, UPPER",BALLYMONEY,FORT-TOWN,IRE_GRIFF_004_140.jpg,16,unflagged_total,,,,,0,False,James Boyd,60 0 0,36 0 0
ANTRIM,"DUNLUCE, LOWER",BALLYWILLIN,PORTRUSH,"IRE_GRIFF_006_012.jpg,IRE_GRIFF_006_013.jpg,IRE_GRIFF_006_014.jpg,IRE_GRIFF_006_015.jpg,IRE_GRIFF_006_016.jpg",257,genuinely_missing,,,,,,,,,
ANTRIM,"DUNLUCE, LOWER",BALLYWILLIN,COLERAINE-ROAD,IRE_GRIFF_006_016.jpg,3,unflagged_total,,,,,1,False,"William Coleman,",20 0 0,29 0 0
ANTRIM,"DUNLUCE, LOWER",BILLY,BALLYHEMLIN,IRE_GRIFF_006_022.jpg,19,genuinely_missing,,,,,,,,,
ANTRIM,"DUNLUCE, LOWER",BILLY,CASTLEGAT,IRE_GRIFF_006_025.jpg,12,genuinely_missing,,,,,,,,,
ANTRIM,"DUNLUCE, LOWER",DUNLUCE,"PRIESTLAND, WEST",IRE_GRIFF_006_036.jpg,16,split_segment,prev,"PRIESTLAND, EAST",0.933,1,,,,,
ANTRIM,"DUNLUCE, LOWER",DUNLUCE,CRAIGABONEY,IRE_GRIFF_006_044.jpg,6,unflagged_total,,,,,1,False,Hugh Wilson,18 15 0,12 10 0
ARMAGH,ARMAGH,DERRYNOOSE,CORMEEN,IRE_GRIFF_018_226.jpg,2,tiny_segment,,,,,,,,,
ARMAGH,ARMAGH,DERRYNOOSE,DRUMAGANVER,IRE_GRIFF_018_232.jpg,27,genuinely_missing,,,,,,,,,
ARMAGH,ARMAGH,DERRYNOOSE,FARNALOY,IRE_GRIFF_018_237.jpg,38,genuinely_missing,,,,,,,,,
ARMAGH,ARMAGH,GRANGE,ANNAHAGH,IRE_GRIFF_018_244.jpg,11,genuinely_missing,,,,,,,,,
ARMAGH,ARMAGH,KEADY,LAGAN,IRE_GRIFF_018_272.jpg,17,genuinely_missing,,,,,,,,,
ARMAGH,ARMAGH,KEADY,TULLYGLUSH,"IRE_GRIFF_018_285.jpg,IRE_GRIFF_018_286.jpg",65,genuinely_missing,,,,,,,,,
ARMAGH,ARMAGH,KEADY,CROSSDENED,"IRE_GRIFF_018_289.jpg,IRE_GRIFF_018_290.jpg,IRE_GRIFF_018_291.jpg",97,genuinely_missing,,,,,,,,,
ARMAGH,ARMAGH,KEADY,CROSSMORE,IRE_GRIFF_018_291.jpg,50,genuinely_missing,,,,,,,,,
ARMAGH,ARMAGH,LOUGHGALL,BOROUGH OF CHARLEMONT,"IRE_GRIFF_018_303.jpg,IRE_GRIFF_018_304.jpg",48,genuinely_missing,,,,,,,,,
ARMAGH,ARMAGH,LOUGHGALL,TOWN OF CHARLEMONT,IRE_GRIFF_018_304.jpg,20,genuinely_missing,,,,,,,,,
ARMAGH,ARMAGH,LOUGHGALL,CORR AND DUNAVALLY,IRE_GRIFF_018_309.jpg,23,genuinely_missing,,,,,,,,,
ARMAGH,ARMAGH,LOUGHGALL,KINNEGOE,"IRE_GRIFF_018_313.jpg,IRE_GRIFF_018_314.jpg",46,genuinely_missing,,,,,,,,,
ARMAGH,ARMAGH,EGLISH,TAMLAGHT,IRE_GRIFF_018_319.jpg,14,genuinely_missing,,,,,,,,,
ARMAGH,ARMAGH,EGLISH,NAVAN,IRE_GRIFF_018_322.jpg,37,genuinely_missing,,,,,,,,,
ARMAGH,TIRANNY,TYNAN,ARDGONNELL,IRE_GRIFF_018_400.jpg,22,genuinely_missing,,,,,,,,,
ARMAGH,TIRANNY,TYNAN,MULLANARY,IRE_GRIFF_018_407.jpg,26,genuinely_missing,,,,,,,,,
ARMAGH,TIRANNY,TYNAN,CRANN,IRE_GRIFF_018_412.jpg,22,genuinely_missing,,,,,,,,,
ARMAGH,TIRANNY,TYNAN,TULLYGLUSH (NEVIN.),IRE_GRIFF_018_426.jpg,7,genuinely_missing,,,,,,,,,
ARMAGH,TIRANNY,TYNAN,CORTYNAN,IRE_GRIFF_018_427.jpg,54,genuinely_missing,,,,,,,,,
ARMAGH,TIRANNY,EGLISH,LISBANE,IRE_GRIFF_018_430.jpg,5,genuinely_missing,,,,,,,,,
LOUTH,LOUTH,LOUTH,CARRICKMULLAN,IRE_GRIFF_024_040.jpg,7,genuinely_missing,,,,,,,,,
LOUTH,LOUTH,LOUTH,MULLAVALLY,IRE_GRIFF_024_052.jpg,39,genuinely_missing,,,,,,,,,
LOUTH,LOUTH,LOUTH,RICHARD TAAFFE'S HOLDING,IRE_GRIFF_024_056.jpg,64,genuinely_missing,,,,,,,,,
LOUTH,"DUNDALK, UPPER",BALLYMASCANLAN,KILCURRY,IRE_GRIFF_024_062.jpg,9,unflagged_total,,,,,7,False,"James M'Ardle,",78 0 0,104 18 0
LOUTH,"DUNDALK, UPPER",DUNBIN,DONAGHMORE,IRE_GRIFF_024_076.jpg,33,genuinely_missing,,,,,,,,,
LOUTH,"DUNDALK, UPPER",DUNDALK,CARNBEG,IRE_GRIFF_024_080.jpg,6,genuinely_missing,,,,,,,,,
LOUTH,"DUNDALK, UPPER",INISHKEEN,GORTEEN,IRE_GRIFF_024_093.jpg,17,genuinely_missing,,,,,,,,,
LOUTH,"DUNDALK, UPPER",FAUGHART,BALRIGGAN,IRE_GRIFF_024_096.jpg,28,genuinely_missing,,,,,,,,,
LOUTH,"DUNDALK, UPPER",FAUGHART,DUNGOOLY,IRE_GRIFF_024_098.jpg,35,genuinely_missing,,,,,,,,,
LOUTH,"DUNDALK, UPPER",ROCHE,EDENAKILL,IRE_GRIFF_024_117.jpg,16,genuinely_missing,,,,,,,,,
LOUTH,"DUNDALK, MUNICIPAL BOROUGH OF",DUNDALK,TOWN PARKS,"IRE_GRIFF_024_121.jpg,IRE_GRIFF_024_122.jpg,IRE_GRIFF_024_123.jpg,IRE_GRIFF_024_124.jpg,IRE_GRIFF_024_125.jpg,IRE_GRIFF_024_126.jpg,IRE_GRIFF_024_127.jpg",421,genuinely_missing,,,,,,,,,
LOUTH,"DUNDALK, MUNICIPAL BOROUGH OF",DUNDALK,TOWN OF DUNDALK,IRE_GRIFF_024_128.jpg,66,genuinely_missing,,,,,,,,,
LOUTH,"DUNDALK, LOWER",CARLINGFORD,BAVAN,IRE_GRIFF_024_194.jpg,34,genuinely_missing,,,,,,,,,
LOUTH,"DUNDALK, LOWER",CARLINGFORD,COMMONS,"IRE_GRIFF_024_199.jpg,IRE_GRIFF_024_200.jpg,IRE_GRIFF_024_201.jpg,IRE_GRIFF_024_202.jpg",197,genuinely_missing,,,,,,,,,
LOUTH,"DUNDALK, LOWER",CARLINGFORD,TOWN OF CARLINGFORD,IRE_GRIFF_024_202.jpg,22,genuinely_missing,,,,,,,,,
