page_num,townland_linked,neighbor_direction,neighbor_townland,neighbor_similarity,neighbor_total_rows,parish_effective,county_effective,barony_effective,page_names,row_count
004_093,"CLONTYFINNAN, WEST",prev,"CLONTYFINNAN, EAST",0.941,2.0,LOUGHGUILE,ANTRIM,"DUNLUCE, UPPER",IRE_GRIFF_004_093.jpg,18
006_036,"PRIESTLAND, WEST",prev,"PRIESTLAND, EAST",0.933,1.0,DUNLUCE,ANTRIM,"DUNLUCE, LOWER",IRE_GRIFF_006_036.jpg,16
028_358,TULLYYMONGAN UPPER,prev,TULLYYMONGAN LOWER,0.824,1.0,URNEY,CAVAN,"LOUGHTEE, UPPER",IRE_GRIFF_028_358.jpg,8
046_082,"GRANGE, WEST.",prev,"GRANGE, EAST.",0.909,1.0,FERMOY,CORK,CONDONS & CLANGIBBON,IRE_GRIFF_046_082.jpg,31
049_081,"CLONMEEN, SOUTH",prev,"CLONMEEN, NORTH",0.857,3.0,CLONMEEN,CORK,DUHALLOW (PART I),IRE_GRIFF_049_081.jpg,30
051_017,"KNOCKDUFF, UPPER",prev,"KNOCKDUFF, LOWER",0.8,1.0,CULLEN,CORK,DUHALLOW (PART III),IRE_GRIFF_051_017.jpg,25
134_020,"KILNAMORAGH, SOUTH",prev,"KILNAMORAGH, NORTH",0.882,1.0,DONADEA,KILDARE,IKEATHY AND OUGHTERANY,IRE_GRIFF_134_020.jpg,2
135_017,"DONADEA, NORTH",next,"DONADEA, SOUTH",0.846,2.0,DONADEA,KILDARE,IKEATHY AND OUGHTERANY,IRE_GRIFF_135_017.jpg,6
139_048,"BALLINVA, STH.",prev,"BALLINVA, NTH.",0.917,1.0,KILLAHY,KILKENNY,KNOCKTOPHER,IRE_GRIFF_139_048.jpg,1
144_035,"STONECARTHY, WEST",prev,"STONECARTHY, EAST",0.938,2.0,STONECARTHY,KILKENNY,SHILLELOGHER,IRE_GRIFF_144_035.jpg,10
145_048,"SMITHSLAND, SOUTH",prev,"SMITHSLAND, NORTH",0.875,1.0,ST PATRICK,KILKENNY,SHILLELOGHER,IRE_GRIFF_145_048.jpg,14
145_054,"GREVINE, WEST",prev,"GREVINE, EAST",0.917,1.0,OUTRATH,KILKENNY,SHILLELOGHER,IRE_GRIFF_145_054.jpg,14
145_067,"STONECARTHY, WEST",prev,"STONECARTHY, EAST",0.938,2.0,STONECARTHY,KILKENNY,SHILLELOGHER,IRE_GRIFF_145_067.jpg,3
150_096,TOWNPARKS,next,TOWNPARKS,1.0,3.0,BIRR,KING'S,BALLYBRITT,"IRE_GRIFF_150_096.jpg,IRE_GRIFF_150_097.jpg,IRE_GRIFF_150_098.jpg,IRE_GRIFF_150_099.jpg,IRE_GRIFF_150_100.jpg,IRE_GRIFF_150_101.jpg,IRE_GRIFF_150_102.jpg,IRE_GRIFF_150_103.jpg,IRE_GRIFF_150_104.jpg,IRE_GRIFF_150_105.jpg,IRE_GRIFF_150_106.jpg,IRE_GRIFF_150_107.jpg,IRE_GRIFF_150_108.jpg,IRE_GRIFF_150_109.jpg,IRE_GRIFF_150_110.jpg,IRE_GRIFF_150_111.jpg,IRE_GRIFF_150_112.jpg,IRE_GRIFF_150_113.jpg,IRE_GRIFF_150_114.jpg,IRE_GRIFF_150_115.jpg",1168
229_017,TIRNAHINCH NEAR,prev,TIRNAHINCH FAR,0.889,1.0,CLONES,MONAGHAN,DARTREE,IRE_GRIFF_229_017.jpg,17
299_120,KILCUMMER UP.,prev,KILCUMMER L.R.,0.818,2.0,KILCUMMER,CORK,FERMOY,IRE_GRIFF_299_120.jpg,34
