county_effective,barony_effective,parish_effective,townland_linked,page_names,page_count,row_count,has_total_row,total_row_count,valuation_ok,failure_reason,is_one_page_townland,sum_land_val,total_land_val,sum_total_val,total_total_val,multiple_total_rows
ANTRIM,"DUNLUCE, LOWER",DERRYKEIGHAN,GARNAFF,IRE_GRIFF_004_065.jpg,1,7,True,1,False,,True,26 10 0,177 16 0,53 10 0,224 9 0,
ANTRIM,"DUNLUCE, LOWER",DERRYKEIGHAN,CARNCOGGY,IRE_GRIFF_004_065.jpg,1,20,True,3,False,,True,292 15 0,146 10 0,414 15 0,173 15 0,True
ANTRIM,"DUNLUCE, LOWER",DERRYKEIGHAN,DEEPSTOWN,IRE_GRIFF_004_065.jpg,1,4,True,1,True,,True,82 10 0,82 10 0,86 15 0,86 15 0,
ANTRIM,"DUNLUCE, LOWER",DERRYKEIGHAN,DERRYKEIGHAN,IRE_GRIFF_004_065.jpg,1,11,False,0,False,no_total_row,True,,,,,
ANTRIM,"DUNLUCE, LOWER",DERRYKEIGHAN,BALLYDIVITY,IRE_GRIFF_004_067.jpg,1,26,True,1,True,,True,210 13 0,210 13 0,431 3 0,282 10 0,
ANTRIM,"DUNLUCE, LOWER",DERRYKEIGHAN,"BALLYHIBISTOCK, LOWER",IRE_GRIFF_004_067.jpg,1,11,True,1,True,,True,114 10 0,114 10 0,169 10 0,152 15 0,
ANTRIM,"DUNLUCE, LOWER",DERRYKEIGHAN,"BALLYHIBISTOCK, UPPER",IRE_GRIFF_004_067.jpg,1,10,True,1,True,,True,99 8 0,99 8 0,149 15 0,108 5 0,
ANTRIM,"DUNLUCE, LOWER",DERRYKEIGHAN,"BALLYNARRY, UPPER",IRE_GRIFF_004_067.jpg,1,4,False,0,False,no_total_row,True,,,,,
ANTRIM,"DUNLUCE, LOWER",DUNLUCE,BOOTOWN,IRE_GRIFF_004_081.jpg,1,4,True,1,False,,True,34 10 0,105 0 0,38 10 0,113 5 0,
ANTRIM,"DUNLUCE, LOWER",DUNLUCE,KILMOYLE,IRE_GRIFF_004_081.jpg,1,26,True,2,True,,True,157 10 0,157 10 0,188 10 0,188 10 0,True
ANTRIM,"DUNLUCE, LOWER",DUNLUCE,SHELLFIELD,IRE_GRIFF_004_081.jpg,1,9,True,1,True,,True,29 5 0,29 5 0,39 5 0,39 5 0,
ANTRIM,"DUNLUCE, LOWER",DUNLUCE,BALLYBOGY,IRE_GRIFF_004_081.jpg,1,12,False,0,False,no_total_row,True,,,,,
ANTRIM,"DUNLUCE, UPPER",KILRAGHTS,ARTIFERRALL,IRE_GRIFF_004_091.jpg,1,41,True,2,False,,True,137 5 0,0 0 0,350 10 0,350 10 0,True
ANTRIM,"DUNLUCE, UPPER",LOUGHGUILE,BALLYBREGAGH,"IRE_GRIFF_004_091.jpg,IRE_GRIFF_004_092.jpg",2,26,True,1,True,,False,213 0 0,213 0 0,239 15 0,233 5 0,
ANTRIM,"DUNLUCE, UPPER",LOUGHGUILE,"BALLYCREGAGH, UPPER",IRE_GRIFF_004_092.jpg,1,27,True,1,True,,True,160 10 0,160 0 0,176 15 0,177 0 0,
ANTRIM,"DUNLUCE, UPPER",LOUGHGUILE,CARRIVCASHEL,"IRE_GRIFF_004_092.jpg,IRE_GRIFF_004_093.jpg",2,22,True,1,True,,False,200 10 0,191 10 0,205 15 0,205 15 0,
ANTRIM,"DUNLUCE, UPPER",LOUGHGUILE,"CLONTYFINNAN, EAST",IRE_GRIFF_004_093.jpg,1,22,True,2,True,,True,183 5 0,183 5 0,215 5 0,215 5 0,True
ANTRIM,"DUNLUCE, UPPER",LOUGHGUILE,"CLONTYFINNAN, WEST",IRE_GRIFF_004_093.jpg,1,18,False,0,False,no_total_row,True,,,,,
ANTRIM,"DUNLUCE, UPPER",BALLYMONEY,BALLYGOBBIN,IRE_GRIFF_004_111.jpg,1,32,True,1,True,,True,124 15 0,139 5 0,152 5 0,162 5 0,
ANTRIM,"DUNLUCE, UPPER",BALLYMONEY,BALLYBRAKES,IRE_GRIFF_004_111.jpg,1,29,False,0,False,no_total_row,True,,,,,
ANTRIM,"DUNLUCE, UPPER",BALLYMONEY,GLEBE,IRE_GRIFF_004_116.jpg,1,4,True,2,False,,True,4 0 0,76 0 0,41 0 0,160 5 0,True
ANTRIM,"DUNLUCE, UPPER",BALLYMONEY,TOWNPARKS,"IRE_GRIFF_004_116.jpg,IRE_GRIFF_004_117.jpg,IRE_GRIFF_004_118.jpg",3,172,False,0,False,no_total_row,False,,,,,
ANTRIM,"DUNLUCE, UPPER",BALLYMONEY,TOWN OF BALLYMONEY,IRE_GRIFF_004_118.jpg,1,7,False,0,False,no_total_row,True,,,,,
ANTRIM,"DUNLUCE, UPPER",BALLYMONEY,TOWNPARKS,"IRE_GRIFF_004_119.jpg,IRE_GRIFF_004_120.jpg,IRE_GRIFF_004_121.jpg,IRE_GRIFF_004_122.jpg,IRE_GRIFF_004_123.jpg,IRE_GRIFF_004_124.jpg,IRE_GRIFF_004_125.jpg,IRE_GRIFF_004_126.jpg,IRE_GRIFF_004_127.jpg,IRE_GRIFF_004_128.jpg,IRE_GRIFF_004_129.jpg",11,606,True,3,False,,False,161 15 0,1316 3 0,4684 14 0,6289 15 0,True
ANTRIM,"DUNLUCE, UPPER",BALLYMONEY,HEAGLES,IRE_GRIFF_004_140.jpg,1,13,True,1,True,,True,122 0 0,122 0 0,140 5 0,146 0 0,
ANTRIM,"DUNLUCE, UPPER",BALLYMONEY,"SEACON, MORE",IRE_GRIFF_004_140.jpg,1,27,True,2,True,,True,180 15 0,180 15 0,208 5 0,208 5 0,True
ANTRIM,"DUNLUCE, UPPER",BALLYMONEY,FORT-TOWN,IRE_GRIFF_004_140.jpg,1,16,False,0,False,no_total_row,True,,,,,
ANTRIM,"DUNLUCE, LOWER",BALLYWILLIN,BALLYWILLIN,IRE_GRIFF_006_012.jpg,1,9,True,1,False,,True,87 15 0,217 0 0,97 5 0,237 10 0,
ANTRIM,"DUNLUCE, LOWER",BALLYWILLIN,MEADOW PARKS,IRE_GRIFF_006_012.jpg,1,4,True,1,True,,True,23 0 0,23 0 0,28 10 0,28 10 0,
