county_effective,barony_effective,parish_effective,townland_linked,page_names,page_num,row_count,subcategory,ends_at_page_bottom,next_page_in_corpus,next_page_first_townland,other_model_has_total
ANTRIM,"DUNLUCE, UPPER",BALLYMONEY,BALLYBRAKES,IRE_GRIFF_004_111.jpg,004_111,29,continues_to_unscanned_page,True,False,,False
ANTRIM,"DUNLUCE, LOWER",BILLY,BALLYHEMLIN,IRE_GRIFF_006_022.jpg,006_022,19,continues_to_unscanned_page,True,False,,False
ANTRIM,"DUNLUCE, LOWER",BILLY,CASTLECAT,IRE_GRIFF_006_025.jpg,006_025,13,continues_to_unscanned_page,True,False,,False
ARMAGH,ARMAGH,DERRYNOOSE,DRUMLACANVER,IRE_GRIFF_018_232.jpg,018_232,26,continues_to_unscanned_page,True,False,,False
ARMAGH,ARMAGH,GRANGE,ANNAHAGH,IRE_GRIFF_018_244.jpg,018_244,10,continues_to_unscanned_page,True,False,,False
ARMAGH,ARMAGH,KEADY,LAGAN,IRE_GRIFF_018_272.jpg,018_272,13,continues_to_unscanned_page,True,False,,False
ARMAGH,ARMAGH,KEADY,TULLYGLUSH,"IRE_GRIFF_018_285.jpg,IRE_GRIFF_018_286.jpg",018_286,68,continues_to_unscanned_page,True,False,,False
ARMAGH,ARMAGH,LOUGHGALL,CORR AND DUNAVALLY,IRE_GRIFF_018_309.jpg,018_309,21,continues_to_unscanned_page,True,False,,False
ARMAGH,ARMAGH,EGLISH,NAVAN,IRE_GRIFF_018_322.jpg,018_322,37,continues_to_unscanned_page,True,False,,False
ARMAGH,ARMAGH,ARMAGH,RAILWAY-STREET,IRE_GRIFF_018_354.jpg,018_354,9,continues_to_unscanned_page,True,False,,False
ARMAGH,TIRANNY,TYNAN,ARDGOANNELL,IRE_GRIFF_018_400.jpg,018_400,22,continues_to_unscanned_page,True,False,,False
ARMAGH,TIRANNY,TYNAN,CORTYNAN,IRE_GRIFF_018_427.jpg,018_427,55,continues_to_unscanned_page,True,False,,False
ARMAGH,TIRANNY,EGLISH,LISBANE,IRE_GRIFF_018_430.jpg,018_430,5,continues_to_unscanned_page,True,False,,False
LOUTH,LOUTH,LOUTH,CARRICKMULLAN,IRE_GRIFF_024_040.jpg,024_040,7,continues_to_unscanned_page,True,False,,False
LOUTH,LOUTH,LOUTH,MULLAVALLY,IRE_GRIFF_024_052.jpg,024_052,39,continues_to_unscanned_page,True,False,,False
LOUTH,LOUTH,LOUTH,RICHARD TAFFES HOLDING,IRE_GRIFF_024_056.jpg,024_056,38,continues_to_unscanned_page,True,False,,False
LOUTH,"DUNDALK, UPPER",DUNBIN,DONAGHMORE,IRE_GRIFF_024_076.jpg,024_076,3,continues_to_unscanned_page,True,False,,False
LOUTH,"DUNDALK, UPPER",DUNDALK,CARNBEG,IRE_GRIFF_024_080.jpg,024_080,5,continues_to_unscanned_page,True,False,,False
LOUTH,"DUNDALK, UPPER",INISHKEEN,GORTEEN,IRE_GRIFF_024_093.jpg,024_093,17,continues_to_unscanned_page,True,False,,False
LOUTH,"DUNDALK, UPPER",FAUGHART,DUGGOOLY,IRE_GRIFF_024_098.jpg,024_098,35,continues_to_unscanned_page,True,False,,False
LOUTH,"DUNDALK, UPPER",ROCHE,EDENAKILL,IRE_GRIFF_024_117.jpg,024_117,16,continues_to_unscanned_page,True,False,,False
LOUTH,"DUNDALK, LOWER",CARLINGFORD,CORNAMUCKLAGH,IRE_GRIFF_024_203.jpg,024_203,6,continues_to_unscanned_page,True,False,,False
CAVAN,TULLYHAW,TEMPLEPORT,DRUMLOUGHEER,IRE_GRIFF_027_054.jpg,027_054,21,continues_to_unscanned_page,True,False,,False
CAVAN,TULLYHAW,TEMPLEPORT,OWENCAM,IRE_GRIFF_027_069.jpg,027_069,9,continues_to_unscanned_page,True,False,,False
CAVAN,TULLYHAW,TOMREGAN,CARROWMORE,IRE_GRIFF_027_079.jpg,027_079,8,continues_to_unscanned_page,True,False,,False
CAVAN,CLANMAHON,KILMORE,CORNAMUCKLAGH,IRE_GRIFF_028_116.jpg,028_116,3,continues_to_unscanned_page,True,False,,False
CAVAN,CASTLERAHAN,CROSSERLOUGH,LATNADRONAGH,IRE_GRIFF_028_141.jpg,028_141,18,continues_to_unscanned_page,True,False,,False
CAVAN,"LOUGHTEE, LOWER",ANNAGH,CREENY,IRE_GRIFF_028_162.jpg,028_162,23,continues_to_unscanned_page,True,False,,False
CAVAN,"LOUGHTEE, LOWER",ANNAGH,ROSSKEERAGH,IRE_GRIFF_028_172.jpg,028_172,30,continues_to_unscanned_page,True,False,,False
CAVAN,"LOUGHTEE, UPPER",LARAH,CORFAD,IRE_GRIFF_028_310.jpg,028_310,4,continues_to_unscanned_page,True,False,,False
CAVAN,"LOUGHTEE, UPPER",LARAH,TIRLAHODE LOWER,IRE_GRIFF_028_316.jpg,028_316,18,continues_to_unscanned_page,True,False,,False
CAVAN,"LOUGHTEE, UPPER",URNEY,KILNAVARA,IRE_GRIFF_028_348.jpg,028_348,26,continues_to_unscanned_page,True,False,,False
CAVAN,TULLYGARVEY,DRUMGOON,POTTLEAGH,IRE_GRIFF_029_045.jpg,029_045,13,continues_to_unscanned_page,True,False,,False
CAVAN,TULLYHAW,TEMPLEPORT,MONEENSAURAN,IRE_GRIFF_030_043.jpg,030_043,24,continues_to_unscanned_page,True,False,,False
CAVAN,CLANMAHON,KILBRIDE,"DUNGUININ, UPPER",IRE_GRIFF_032_079.jpg,032_079,12,continues_to_unscanned_page,True,False,,False
CORK,CONDONS & CLANGIBBON,BRIGOWN,COOLNANAVE,IRE_GRIFF_046_028.jpg,046_028,3,continues_to_unscanned_page,True,False,,False
CORK,CONDONS & CLANGIBBON,KILDORRERY,OLDCASTLETOWN,IRE_GRIFF_046_094.jpg,046_094,35,continues_to_unscanned_page,True,False,,False
CORK,DUHALLOW (PART I),CLONFERT,KILKNOCKANE,IRE_GRIFF_049_049.jpg,049_049,24,continues_to_unscanned_page,True,False,,False
CORK,DUHALLOW (PART I),CLONFERT,KNOCKSEAVANE,IRE_GRIFF_049_055.jpg,049_055,20,continues_to_unscanned_page,True,False,,False
CORK,DUHALLOW (PART II),KILSHANNIG,BRITTAS,IRE_GRIFF_050_019.jpg,050_019,29,continues_to_unscanned_page,True,False,,False
CORK,DUHALLOW (PART III),NOHAVALDALY,LYREDAOWEN,IRE_GRIFF_051_044.jpg,051_044,13,continues_to_unscanned_page,True,False,,False
CORK,ORRERY & KILMORE,BUTTEVANT,BUTTEVANT,IRE_GRIFF_063_036.jpg,063_036,56,continues_to_unscanned_page,True,False,,False
CORK,ORRERY & KILMORE,KILBRONEY,BALLINATILLA,IRE_GRIFF_063_081.jpg,063_081,11,continues_to_unscanned_page,True,False,,False
DOWN,"IVEAGH, UPPER (UPPER HALF)",AGHADERG,CARRICKDRUMMAN,IRE_GRIFF_079_057.jpg,079_057,16,continues_to_unscanned_page,True,False,,False
DOWN,"IVEAGH, UPPER (UPPER HALF)",AGHADERG,BALLYGOWAN,IRE_GRIFF_079_080.jpg,079_080,37,continues_to_unscanned_page,True,False,,False
DOWN,"ARDS, UPPER",BALLYPHILIP,TULLYBOARD,IRE_GRIFF_081_178.jpg,081_178,36,continues_to_unscanned_page,True,False,,False
DOWN,"ARDS, UPPER",SLANES,NEWCASTLE,IRE_GRIFF_081_191.jpg,081_191,28,continues_to_unscanned_page,True,False,,False
DOWN,"LECALE, LOWER",BALLEE,SLIEVENA-GRIDDLE,IRE_GRIFF_081_213.jpg,081_213,39,continues_to_unscanned_page,True,False,,False
DOWN,"LECALE, UPPER",RATHMULLAN,BALLYVASTON,IRE_GRIFF_081_285.jpg,081_285,23,continues_to_unscanned_page,True,False,,False
DOWN,"LECALE, UPPER",RATHMULLAN,BALLYLUCAS,IRE_GRIFF_081_295.jpg,081_295,25,continues_to_unscanned_page,True,False,,False
DOWN,"IVEAGH, UPPER (UPPER HALF)",DRUMGATH,DRUMLOUGH,IRE_GRIFF_085_063.jpg,085_063,50,continues_to_unscanned_page,True,False,,False
DOWN,"ARDS, LOWER",BANGOR,GROOMSPORT,IRE_GRIFF_086_124.jpg,086_124,4,continues_to_unscanned_page,True,False,,False
DOWN,"ARDS, LOWER",DONAGHADEE,GRANGEE,IRE_GRIFF_086_159.jpg,086_159,3,continues_to_unscanned_page,True,False,,False
DOWN,"ARDS, LOWER",GREY ABBEY,BALLYBOGHILBO,IRE_GRIFF_086_182.jpg,086_182,17,continues_to_unscanned_page,True,False,,False
DOWN,"ARDS, LOWER",NEWTOWN ARDS,CUNNINGBURN,IRE_GRIFF_086_201.jpg,086_201,13,continues_to_unscanned_page,True,False,,False
DOWN,"ARDS, LOWER",NEWTOWN ARDS,LOUGHRISCOUSE,IRE_GRIFF_086_205.jpg,086_205,57,continues_to_unscanned_page,True,False,,False
DOWN,"ARDS, UPPER","ST ANDREWS, ALIAS BALLYHALBERT",BALLYHALBERT,IRE_GRIFF_086_265.jpg,086_265,17,continues_to_unscanned_page,True,False,,False
FERMANAGH,MAGHERABOY,BOHO,DRUMAA,IRE_GRIFF_108_106.jpg,108_106,6,continues_to_unscanned_page,True,False,,False
FERMANAGH,MAGHERABOY,ROSSORRY,MULLAGHREE,IRE_GRIFF_108_153.jpg,108_153,5,continues_to_unscanned_page,True,False,,False
FERMANAGH,MAGHERASTEPHANA,AGHALURCHER,KNOCKS,IRE_GRIFF_110_136.jpg,110_136,4,continues_to_unscanned_page,True,False,,False
FERMANAGH,MAGHERASTEPHANA,AGHALURCHER,AGHNASKERW,IRE_GRIFF_110_144.jpg,110_144,25,continues_to_unscanned_page,True,False,,False
FERMANAGH,MAGHERASTEPHANA,AGHALURCREE,DRUMGOON,IRE_GRIFF_110_146.jpg,110_146,8,continues_to_unscanned_page,True,False,,False
FERMANAGH,MAGHERASTEPHANA,AGHALURCHER,ALTAGOAGHAN,IRE_GRIFF_110_155.jpg,110_155,3,continues_to_unscanned_page,True,False,,False
KILDARE,"SALT, NORTH",KILDROUGHT,KILWOGHAN,IRE_GRIFF_130_022.jpg,130_022,6,continues_to_unscanned_page,True,False,,True
KILDARE,"SALT, NORTH",KILDROUGHT,CHURCH LANE,IRE_GRIFF_131_011.jpg,131_011,10,continues_to_unscanned_page,True,False,,False
KILDARE,"SALT, NORTH",LARAGHBRYAN,MAYNOOTH,IRE_GRIFF_131_029.jpg,131_029,40,continues_to_unscanned_page,True,False,,False
KILDARE,"SALT, NORTH",LARAGHBRYAN,BACK-LANE,IRE_GRIFF_131_032.jpg,131_032,13,continues_to_unscanned_page,True,False,,False
KILDARE,IKEATHY AND OUGHTERANY,CLONSHANBO,HODGESTOWN,IRE_GRIFF_134_018.jpg,134_018,7,continues_to_unscanned_page,True,False,,True
KILDARE,"NAAS, SOUTH",CARNALWAY,KILCULLEN-BRIDGE,IRE_GRIFF_137_029.jpg,137_029,18,continues_to_unscanned_page,True,False,,False
