county_effective,barony_effective,parish_effective,townland_linked,page_names,row_count,category,neighbor_direction,neighbor_townland,neighbor_similarity,neighbor_total_rows,candidate_row_pos,candidate_is_last_row,candidate_occupier,candidate_total_val,sum_other_rows_total_val
ANTRIM,"DUNLUCE, LOWER",DERRYKEIGHAN,DERRYKEIGHAN,IRE_GRIFF_004_065.jpg,11,unflagged_total,,,,,0,False,"Samuel Simpson, sen.",19 0 0,26 10 0
ANTRIM,"DUNLUCE, LOWER",DERRYKEIGHAN,"BALLYNARRY, UPPER",IRE_GRIFF_004_067.jpg,2,tiny_segment,,,,,,,,,
ANTRIM,"DUNLUCE, LOWER",DUNLUCE,BALLYBOGY,IRE_GRIFF_004_081.jpg,12,unflagged_total,,,,,11,True,Catherine M'Naughten,51 15 0,47 0 0
ANTRIM,"DUNLUCE, UPPER",BALLYMONEY,BALLYBRAKES,IRE_GRIFF_004_111.jpg,29,genuinely_missing,,,,,,,,,
ANTRIM,"DUNLUCE, UPPER",BALLYMONEY,TOWNPARKS,"IRE_GRIFF_004_116.jpg,IRE_GRIFF_004_117.jpg,IRE_GRIFF_004_118.jpg,IRE_GRIFF_004_119.jpg,IRE_GRIFF_004_120.jpg,IRE_GRIFF_004_121.jpg,IRE_GRIFF_004_122.jpg,IRE_GRIFF_004_123.jpg,IRE_GRIFF_004_124.jpg,IRE_GRIFF_004_125.jpg",415,genuinely_missing,,,,,,,,,
ANTRIM,"DUNLUCE, UPPER",BALLYMONEY,RODDEY FOOT-STREET,IRE_GRIFF_004_125.jpg,39,genuinely_missing,,,,,,,,,
ANTRIM,"DUNLUCE, UPPER",BALLYMONEY,FORT-TOWN,IRE_GRIFF_004_140.jpg,16,unflagged_total,,,,,0,False,James Boyd,60 0 0,114 0 0
ANTRIM,"DUNLUCE, LOWER",BALLYWILLIN,PORTRUSH,"IRE_GRIFF_006_012.jpg,IRE_GRIFF_006_013.jpg,IRE_GRIFF_006_014.jpg",127,genuinely_missing,,,,,,,,,
ANTRIM,"DUNLUCE, LOWER",BALLYWILLIN,BUSHMILLS-ROAD,IRE_GRIFF_006_014.jpg,26,genuinely_missing,,,,,,,,,
ANTRIM,"DUNLUCE, LOWER",BILLY,BALLYHEMLIN,IRE_GRIFF_006_022.jpg,19,genuinely_missing,,,,,,,,,
ANTRIM,"DUNLUCE, LOWER",BILLY,CASTLECAT,IRE_GRIFF_006_025.jpg,13,genuinely_missing,,,,,,,,,
ANTRIM,"DUNLUCE, LOWER",DUNLUCE,"PRIESTLAND, WEST",IRE_GRIFF_006_036.jpg,15,unflagged_total,,,,,11,False,John Moore (a minor),26 10 0,49 5 0
ANTRIM,"DUNLUCE, LOWER",DUNLUCE,CRAIGABONEY,IRE_GRIFF_006_044.jpg,5,unflagged_total,,,,,1,False,"Hugh Wilson,",18 15 0,12 5 0
