county_effective,barony_effective,parish_effective,townland_linked,page_names,page_count,row_count,has_total_row,total_row_count,valuation_ok,failure_reason,is_one_page_townland,sum_land_val,total_land_val,sum_total_val,total_total_val,multiple_total_rows
ANTRIM,"DUNLUCE, LOWER",DERRYKEIGHAN,CARNAFF,IRE_GRIFF_004_065.jpg,1,7,True,1,False,,True,26 10 0,177 10 0,36 10 0,224 9 0,
ANTRIM,"DUNLUCE, LOWER",DERRYKEIGHAN,CARNC0GGY,IRE_GRIFF_004_065.jpg,1,19,True,2,True,,True,114 10 0,146 10 0,173 15 0,173 15 0,True
ANTRIM,"DUNLUCE, LOWER",DERRYKEIGHAN,DEEPSTOWN,IRE_GRIFF_004_065.jpg,1,4,True,1,False,,True,82 10 0,82 10 0,86 15 0,6 15 0,
ANTRIM,"DUNLUCE, LOWER",DERRYKEIGHAN,DERRYKEIGHAN,IRE_GRIFF_004_065.jpg,1,11,False,0,False,no_total_row,True,,,,,
ANTRIM,"DUNLUCE, LOWER",DERRYKEIGHAN,BALLYDIVITY,IRE_GRIFF_004_067.jpg,1,26,True,1,True,,True,217 13 0,210 13 0,281 10 0,282 10 0,
ANTRIM,"DUNLUCE, LOWER",DERRYKEIGHAN,"BALLYHIBISTOCK, LOWER",IRE_GRIFF_004_067.jpg,1,11,True,1,True,,True,114 10 0,114 10 0,152 15 0,152 15 0,
ANTRIM,"DUNLUCE, LOWER",DERRYKEIGHAN,"BALLYHIBISTOCK, UPPER",IRE_GRIFF_004_067.jpg,1,9,True,1,True,,True,73 13 0,90 8 0,108 5 0,108 5 0,
ANTRIM,"DUNLUCE, LOWER",DERRYKEIGHAN,"BALLYNARRY, UPPER",IRE_GRIFF_004_067.jpg,1,2,False,0,False,no_total_row,True,,,,,
ANTRIM,"DUNLUCE, LOWER",DUNLUCE,BOOTOWN,IRE_GRIFF_004_081.jpg,1,4,True,1,False,,True,34 10 0,105 0 0,38 10 0,113 5 0,
ANTRIM,"DUNLUCE, LOWER",DUNLUCE,KILMOYLE,IRE_GRIFF_004_081.jpg,1,25,True,2,True,,True,157 10 0,157 10 0,188 10 0,188 10 0,True
ANTRIM,"DUNLUCE, LOWER",DUNLUCE,SHELLFIELD,IRE_GRIFF_004_081.jpg,1,9,True,1,True,,True,29 5 0,29 5 0,42 15 0,43 5 0,
ANTRIM,"DUNLUCE, LOWER",DUNLUCE,BALLYBOGY,IRE_GRIFF_004_081.jpg,1,12,False,0,False,no_total_row,True,,,,,
